#       O3      NO2     NO
2014-10-10_17	155	18	1
2014-10-10_18	144	18	1
2014-10-10_19	148	19	1
2014-10-10_20	140	20	1
2014-10-10_21	146	33	1
2014-10-10_22	135	52	1
2014-10-10_23	86	61	2
2014-10-11_00	55	72	3
2014-10-11_01	18	104	7
2014-10-11_02	3	125	24
2014-10-11_03	3	114	27
2014-10-11_04	3	104.5	38
2014-10-11_05	3	95	49
2014-10-11_06	3	93	28
2014-10-11_07	3	85	46
2014-10-11_08	4	87	68
2014-10-11_09	7	81	39
2014-10-11_10	10	70	22
2014-10-11_11	29	74	26
2014-10-11_12	63	79	16
2014-10-11_13	102	97	13
2014-10-11_14	140	59	6
2014-10-11_15	178	31	2
2014-10-11_16	262	35	1
2014-10-11_17	242	33	1
2014-10-11_18	258	36	1
2014-10-11_19	285	36	1
2014-10-11_20	179	38	2
2014-10-11_21	138	37	2
2014-10-11_22	100	39	3
2014-10-11_23	73	40	4
2014-10-12_00	56	43	6
2014-10-12_01	30	60	8
2014-10-12_02	19	67	9
2014-10-12_03	8	78	10
2014-10-12_04	4	78.5	11
2014-10-12_05	6	79	12
2014-10-12_06	14	71	10
2014-10-12_07	21	60	10
2014-10-12_08	22	53	8
2014-10-12_09	17.5	43	9
2014-10-12_10	13	41	13
2014-10-12_11	54	50	12
2014-10-12_12	97	48	9
2014-10-12_13	120	43	7
2014-10-12_14	150	34	4
2014-10-12_15	173	25	2
2014-10-12_16	165	18	1
2014-10-12_17	167	16	1
2014-10-12_18	167	20	2
2014-10-12_19	179	16	1
2014-10-12_20	171	18	1
2014-10-12_21	144	25	1
2014-10-12_22	144	51	1
2014-10-12_23	80	72	3
2014-10-13_00	22	85	5
2014-10-13_01	12	85	7
2014-10-13_02	4	95	21
2014-10-13_03	4	100	26
2014-10-13_04	18	79.5	17
2014-10-13_05	40	59	8
2014-10-13_06	26	66	9
2014-10-13_07	21	68	10
2014-10-13_08	34	56	10
2014-10-13_09	30	51	9
2014-10-13_10	26	64	16
2014-10-13_11	20	90	33
2014-10-13_12	37	116	30
2014-10-13_13	90	97	14
2014-10-13_14	157	38	3
2014-10-13_15	182	23	1
2014-10-13_16	199	19	1
2014-10-13_17	204	20	1
2014-10-13_18	231	21	1
2014-10-13_19	241	25	1
2014-10-13_20	235	25	1
2014-10-13_21	189	39	1
2014-10-13_22	108	66	2
2014-10-13_23	69	78	3
2014-10-14_00	93	53	3
2014-10-14_01	112	44	3
2014-10-14_02	97	50	3
2014-10-14_03	68	62	4
2014-10-14_04	90	44.5	4.5
2014-10-14_05	46	27	5
2014-10-14_06	60	21	5
2014-10-14_07	70	17	5
2014-10-14_08	60	18	6
2014-10-14_09	47.5	21	7
2014-10-14_10	35	40	9
2014-10-14_11	38	48	14
2014-10-14_12	40	56	18
2014-10-14_13	42	67	22
2014-10-14_14	81	28	8
2014-10-14_15	97	25	6
2014-10-14_16	126	35	6
2014-10-14_17	226	53	3
2014-10-14_18	227	73	3
2014-10-14_19	233	91	3
2014-10-14_20	245	91	3
2014-10-14_21	211	85	2
2014-10-14_22	162	104	3
2014-10-14_23	92	121	5
2014-10-15_00	47	108	7
2014-10-15_01	78	58	6
2014-10-15_02	89	45	5
2014-10-15_03	67	38	6
2014-10-15_04	74	28	5.5
2014-10-15_05	89	18	5
2014-10-15_06	82	20	5
2014-10-15_07	82	21	5
2014-10-15_08	85	20	5
2014-10-15_09	77.5	24	5
2014-10-15_10	70	30	6
2014-10-15_11	80	35	7
2014-10-15_12	98	38	6
2014-10-15_13	107	34	5
2014-10-15_14	101	32	5
2014-10-15_15	129	30	4
2014-10-15_16	109	30	5
2014-10-15_17	85	27	6
2014-10-15_18	76	29	6
2014-10-15_19	56	36	7
2014-10-15_20	53	35	7
2014-10-15_21	57	30	6
2014-10-15_22	62	27	5
2014-10-15_23	69	22	5
2014-10-16_00	62	24	5
2014-10-16_01	70	24	5
2014-10-16_02	75	19	5
2014-10-16_03	71	17	4
2014-10-16_04	68	17	4
2014-10-16_05	69	17	4
2014-10-16_06	61	19	5
2014-10-16_07	43	25	6
2014-10-16_08	50	24	6
2014-10-16_09	51.5	24	5
2014-10-16_10	53	29	6
2014-10-16_11	61	31	7
2014-10-16_12	72	34	8
2014-10-16_13	91	39	6
2014-10-16_14	118	45	6
2014-10-16_15	154	48	4
2014-10-16_16	202	54	3
2014-10-16_17	258	51	2
2014-10-16_18	303	47	1
2014-10-16_19	322	46	1
2014-10-16_20	241	63	1
2014-10-16_21	97	69	3
2014-10-16_22	48	89	5
2014-10-16_23	25	112	7
2014-10-17_00	4	108	16
2014-10-17_01	17	68	11
2014-10-17_02	58	28	6
2014-10-17_03	59	30	5
2014-10-17_04	46	32	5.5
2014-10-17_05	50	34	6
2014-10-17_06	61	17	5
2014-10-17_07	65	12	5
2014-10-17_08	67	12	5
2014-10-17_09	58	16	5
2014-10-17_10	49	28	7
2014-10-17_11	29	56	18
2014-10-17_12	31	79	28
2014-10-17_13	66	95	21
2014-10-17_14	138	74	7
2014-10-17_15	208	63	3
2014-10-17_16	219	28	1
2014-10-17_17	213	24	1
2014-10-17_18	170	45	2
2014-10-17_19	112	48	3
2014-10-17_20	88	59	5
2014-10-17_21	71	44	5
2014-10-17_22	83	32	4
2014-10-17_23	80	26	3
2014-10-18_00	73	21	3
2014-10-18_01	73	20	4
2014-10-18_02	70	22	4
2014-10-18_03	73	20	4
2014-10-18_04	72	20.5	4.5
2014-10-18_05	77	21	5
2014-10-18_06	72	20	5
2014-10-18_07	54	21	6
2014-10-18_08	36	27	6
2014-10-18_09	32	35	8
2014-10-18_10	28	40	10
2014-10-18_11	35	56	16
2014-10-18_12	58	65	17
2014-10-18_13	102	53	7
2014-10-18_14	88	22	4
2014-10-18_15	89	19	3
2014-10-18_16	83	24	5
2014-10-18_17	102	29	5
2014-10-18_18	147	36	3
2014-10-18_19	117	28	3
2014-10-18_20	78	26	4
2014-10-18_21	62	28	5
2014-10-18_22	55	31	5
2014-10-18_23	43	46	5
2014-10-19_00	42	50	5
2014-10-19_01	20	63	6
2014-10-19_02	35	54	6
2014-10-19_02	25	60	6
2014-10-19_03	4	67.5	23.5
2014-10-19_04	3	75	41
2014-10-19_05	3	71	55
2014-10-19_06	3	72	39
2014-10-19_07	3	68	38
2014-10-19_08	3.5	63	43
2014-10-19_09	4	53	68
2014-10-19_10	17	68	48
2014-10-19_11	93	26	6
2014-10-19_12	108.5	23.5	4
2014-10-19_13	124	21	2
2014-10-19_14	152	20	1
2014-10-19_15	165	18	1
2014-10-19_16	169	18	1
2014-10-19_17	180	18	2
2014-10-19_18	182	17	1
2014-10-19_19	187	17	2
2014-10-19_20	167	19	1
2014-10-19_21	101	21	1
2014-10-19_22	80	17	2
2014-10-19_23	82	17	2
2014-10-20_00	81	16	2
2014-10-20_01	79	16	3
2014-10-20_02	75	17	3
2014-10-20_03	64	24.5	4
2014-10-20_04	53	32	5
2014-10-20_05	65	20	5
2014-10-20_06	79	15	3
2014-10-20_07	79	16	3
2014-10-20_08	64	21	4
2014-10-20_09	49	29	5
2014-10-20_10	37	43	7
2014-10-20_11	46	49	10
2014-10-20_12	66	37	7
2014-10-20_13	49	33	6
2014-10-20_14	69	23	6
2014-10-20_15	80	17	4
2014-10-20_16	76	20	4
2014-10-20_17	79	20	5
2014-10-20_18	67	20	4
2014-10-20_19	65	23	5
2014-10-20_20	60	23	4
2014-10-20_21	52	25	4
2014-10-20_22	42	28	5
2014-10-20_23	46	23	4
2014-10-21_00	53	18	4
2014-10-21_01	45	22	4
2014-10-21_02	45	24	4
2014-10-21_03	48	18.5	4
2014-10-21_04	52	13	4
2014-10-21_05	51	11	4
