#       O3      NO2     NO
2014-10-13_01	36	21	0
2014-10-13_02	42	12	0
2014-10-13_03	38	14	0
2014-10-13_04	23	22	0
2014-10-13_05	33	17	0
2014-10-13_06	25	12	0
2014-10-13_07	7	30	2
2014-10-13_08	3	34	1
2014-10-13_09	10.5	38	7
2014-10-13_10	18	23	2
2014-10-13_11	31	17	1
2014-10-13_12	37	15	0
2014-10-13_13	46	13	1
2014-10-13_14	54	12	0
2014-10-13_15	67	15	1
2014-10-13_16	73	17	1
2014-10-13_17	78	13	1
2014-10-13_18	79	9	0
2014-10-13_19	81	5	0
2014-10-13_20	81	11	0
2014-10-13_21	71	18	1
2014-10-13_22	54	31	5
2014-10-13_23	51	31	8
2014-10-14_00	62	23	5
2014-10-14_01	55	28	5
2014-10-14_02	73	10	0
2014-10-14_03	83	2	0
2014-10-14_04	81	2	0
2014-10-14_05	82	2	0
2014-10-14_06	80	2	0
2014-10-14_07	72	1	0
2014-10-14_08	66	3	0
2014-10-14_09	50.5	10	0
2014-10-14_10	35	38	0
2014-10-14_11	45	39	0
2014-10-14_12	35	48	5
2014-10-14_13	57	30	1
2014-10-14_14	69	6	0
2014-10-14_15	68	10	0
2014-10-14_16	77	8	0
2014-10-14_17	80	7	0
2014-10-14_18	82	13	0
2014-10-14_19	76	17	0
2014-10-14_20	68	17	0
2014-10-14_21	44	39	0
2014-10-14_22	23	58	1
2014-10-14_23	17	64	9
2014-10-15_00	50	20	0
2014-10-15_01	64	12	0
2014-10-15_02	61	10	0
2014-10-15_03	36	29	0
2014-10-15_04	42	23	0
2014-10-15_05	50	18	0
2014-10-15_06	49	13	0
2014-10-15_07	57	3	0
2014-10-15_08	41	14	0
2014-10-15_09	37	24	0
2014-10-15_10	33	23	0
2014-10-15_11	38	24	0
2014-10-15_12	37	25	1
2014-10-15_13	56	11	0
2014-10-15_14	62	10	0
2014-10-15_15	60	12	2
2014-10-15_16	51	17	0
2014-10-15_17	48	17	0
2014-10-15_18	46	16	0
2014-10-15_19	44	14	0
2014-10-15_20	38	18	0
2014-10-15_21	37	19	1
2014-10-15_22	30	22	1
2014-10-15_23	32	17	0
2014-10-16_00	19	28	0
2014-10-16_01	18	29	0
2014-10-16_02	10	37	1
2014-10-16_03	10	35	0
2014-10-16_04	1	44	6
2014-10-16_05	1	41	4
2014-10-16_06	11	38	2
2014-10-16_07	26	21	0
2014-10-16_08	20	29	0
2014-10-16_09	20.5	16	0
2014-10-16_10	21	24	3
2014-10-16_11	32	21	2
2014-10-16_12	49	12	0
2014-10-16_13	56	11	0
2014-10-16_14	56	13	0
2014-10-16_15	59	14	1
2014-10-16_16	65	10	0
2014-10-16_17	72	8	0
2014-10-16_18	76	7	0
2014-10-16_19	71	8	0
2014-10-16_20	76	6	0
2014-10-16_21	71	12	0
2014-10-16_22	64	15	2
2014-10-16_23	46	30	3
2014-10-17_00	42	37	7
2014-10-17_01	58	23	3
2014-10-17_02	65	7	0
2014-10-17_03	69	2	0
2014-10-17_04	66	0	0
2014-10-17_05	67	0.5	0
2014-10-17_06	62	1	0
2014-10-17_07	59	1	0
2014-10-17_08	48	3	0
2014-10-17_09	43	5	0
2014-10-17_10	38	14	0
2014-10-17_11	33	28	3
2014-10-17_12	59	9	0
2014-10-17_13	61	7	0
2014-10-17_14	61	8	0
2014-10-17_15	68	9	0
2014-10-17_16	66	17	2
2014-10-17_17	70	8	0
2014-10-17_18	66	7	0
2014-10-17_19	62	11	0
2014-10-17_20	62	11	0
2014-10-17_21	61	10	1
2014-10-17_22	48	22	5
2014-10-17_23	46	24	6
2014-10-18_00	49	22	6
2014-10-18_01	43	19	5
2014-10-18_02	32	24	5
2014-10-18_03	0	53	13
